GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.005G003800	High Expression	NA	Putative endonuclease or glycosyl hydrolase
Potri.008G031100	Not Expressed	Not Expressed	unknown
Potri.017G106800	NA	High Expression	galacturonosyltransferase 9
Potri.001G179500	Medium Expression	NA	structural molecules
Potri.013G082200	High Expression	NA	cellulose synthase-like D3
Potri.012G018100	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.006G075000	NA	Medium Expression	unknown
Potri.017G123300	NA	Low Expression	formyltransferase, putative
Potri.002G067000	NA	Not Expressed	unknown
Potri.011G051800	NA	High Expression	RING membrane-anchor 1
Potri.001G443200	NA	High Expression	ARM repeat superfamily protein
Potri.003G033400	Low Expression	Not Expressed	Chaperone protein htpG family protein
Potri.018G075300	Not Expressed	Not Expressed	GNOM-like 2
Potri.004G038200	Not Expressed	NA	Toll-Interleukin-Resistance (TIR) domain family protein
Potri.016G060200	NA	Medium Expression	unknown
Potri.001G029500	NA	Low Expression	nudix hydrolase homolog 16
Potri.014G140600	NA	Low Expression	Heavy metal transport/detoxification superfamily protein
Potri.004G104400	NA	Medium Expression	Proline-rich spliceosome-associated (PSP) family protein / zinc knuckle (CCHC-type) family protein
Potri.010G002400	Medium Expression	NA	Ca2+-activated RelA/spot homolog
Potri.001G074200	Medium Expression	NA	unknown
Potri.005G172600	Low Expression	NA	Ribosomal protein S13/S18 family
Potri.019G000900	NA	Low Expression	Transducin/WD40 repeat-like superfamily protein
Potri.013G073900	NA	Not Expressed	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.006G169400	High Expression	NA	voltage dependent anion channel 4
Potri.007G126500	NA	Medium Expression	tRNA synthetase class I (I, L, M and V) family protein
Potri.018G027500	NA	High Expression	TPX2 (targeting protein for Xklp2) protein family
Potri.002G240200	Medium Expression	Not Expressed	formin homology 1
Potri.014G158400	High Expression	NA	O-Glycosyl hydrolases family 17 protein
Potri.013G130300	NA	High Expression	unknown
Potri.017G111400	NA	High Expression	little nuclei1
Potri.003G087400	NA	Medium Expression	Protein of unknown function (DUF2921)
Potri.009G134000	NA	Medium Expression	myb domain protein 4
Potri.002G211500	NA	Not Expressed	unknown
Potri.006G170700	NA	Medium Expression	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Potri.007G065300	NA	Medium Expression	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.019G022700	NA	Medium Expression	Haem oxygenase-like, multi-helical
Potri.001G013300	NA	Medium Expression	unknown
Potri.012G102500	NA	High Expression	DEK domain-containing chromatin associated protein
Potri.018G071200	NA	High Expression	protein arginine methyltransferase 10
Potri.016G080800	NA	Not Expressed	unknown
Potri.004G209700	Medium Expression	NA	phototropin 2
Potri.019G053700	NA	High Expression	isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase 2
Potri.019G079500	NA	High Expression	PATELLIN 2
Potri.005G189800	NA	Medium Expression	plant U-box 29
Potri.002G138400	High Expression	NA	RAS 5
Potri.017G093700	High Expression	NA	exocyst subunit exo70 family protein E1
Potri.006G263600	NA	High Expression	WRKY DNA-binding protein 18
Potri.018G070100	High Expression	High Expression	Ribosomal protein L31e family protein
Potri.013G031700	NA	High Expression	sodium hydrogen exchanger 2
Potri.012G065900	Medium Expression	Medium Expression	unknown
Potri.019G128900	NA	High Expression	nodulin MtN21 /EamA-like transporter family protein
Potri.002G116600	Medium Expression	Low Expression	ARM repeat superfamily protein
Potri.003G001400	NA	Medium Expression	dynamin-like 3
Potri.005G108500	High Expression	NA	Protein phosphatase 2C family protein
Potri.001G410100	Medium Expression	NA	Uncharacterised conserved protein (UCP012943)
Potri.006G051000	NA	High Expression	Protein of unknown function (DUF288)
Potri.004G082800	NA	High Expression	NADH-ubiquinone dehydrogenase, mitochondrial, putative
Potri.015G048300	NA	Low Expression	OBF binding protein 4
Potri.001G172600	Medium Expression	NA	Single hybrid motif superfamily protein
Potri.T048700	NA	Not Expressed	unknown
Potri.001G255400	Low Expression	NA	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.002G217200	High Expression	High Expression	Chaperone DnaJ-domain superfamily protein
Potri.002G112600	Medium Expression	High Expression	Protein of unknown function (DUF1005)
Potri.018G131100	NA	Medium Expression	unknown
Potri.008G222800	Low Expression	NA	Mediator complex, subunit Med10
Potri.008G215400	NA	Low Expression	GTP1/OBG family protein
Potri.013G070100	NA	Medium Expression	Ribosomal protein L3 family protein
Potri.015G067800	NA	Medium Expression	Dynein light chain type 1 family protein
Potri.019G055800	Low Expression	NA	Major facilitator superfamily protein
Potri.010G089700	NA	High Expression	time for coffee
Potri.017G147900	NA	Low Expression	CBS domain-containing protein with a domain of unknown function (DUF21)
Potri.017G120300	High Expression	High Expression	unknown
Potri.012G056100	Medium Expression	Medium Expression	CRS1 / YhbY (CRM) domain-containing protein
Potri.T005700	Not Expressed	Not Expressed	ATP synthase subunit beta
Potri.004G185200	NA	Low Expression	proteinaceous RNase P 3
Potri.011G080300	Medium Expression	NA	Cytochrome b561/ferric reductase transmembrane protein family
Potri.004G115500	NA	Not Expressed	K-box region and MADS-box transcription factor family protein
Potri.018G090300	NA	High Expression	H(+)-ATPase 1
Potri.001G210500	High Expression	NA	Protein of unknown function (DUF3411)
Potri.001G008800	High Expression	High Expression	histone mono-ubiquitination 2
Potri.016G087800	NA	Low Expression	Concanavalin A-like lectin protein kinase family protein
Potri.008G077300	Medium Expression	Medium Expression	UDP-galactose transporter 6
Potri.008G191800	NA	High Expression	myb-like transcription factor family protein
Potri.018G139600	NA	High Expression	Oligosaccharyltransferase complex/magnesium transporter family protein
Potri.014G018700	NA	Medium Expression	acyl-CoA-binding domain 3
Potri.006G032500	NA	Low Expression	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
Potri.012G013800	Medium Expression	NA	unknown
Potri.016G079500	NA	Medium Expression	unknown
Potri.004G210300	NA	Medium Expression	hydroxyproline-rich glycoprotein family protein
Potri.001G307400	NA	High Expression	Sec23/Sec24 protein transport family protein
Potri.008G183800	Medium Expression	NA	unknown
Potri.005G252600	NA	High Expression	high mobility group B2
Potri.001G178000	High Expression	Medium Expression	tetratricopeptide repeat (TPR)-containing protein
Potri.008G046600	NA	Medium Expression	Ypt/Rab-GAP domain of gyp1p superfamily protein
Potri.008G045100	NA	Low Expression	nitrate excretion transporter1
Potri.006G163700	High Expression	NA	chromatin protein family
Potri.003G031900	NA	High Expression	Pre-mRNA-processing-splicing factor
Potri.012G105400	High Expression	Medium Expression	unknown
Potri.013G094400	High Expression	Medium Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.007G075600	Low Expression	NA	RNI-like superfamily protein
Potri.012G046300	Medium Expression	NA	HCP-like superfamily protein
Potri.017G059400	NA	High Expression	S-adenosyl-L-homocysteine hydrolase
Potri.011G085000	Not Expressed	NA	camelliol C synthase 1
Potri.014G175300	Low Expression	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.002G187200	Medium Expression	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Potri.007G069800	NA	Medium Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.004G172500	Low Expression	NA	armadillo repeat only 1
Potri.003G221600	NA	Low Expression	Lysyl-tRNA synthetase, class II
Potri.011G074500	NA	Not Expressed	ribosomal protein S12C
Potri.019G040800	Low Expression	Low Expression	WUSCHEL related homeobox 11
Potri.006G148400	Low Expression	NA	CCCH-type zinc finger family protein
Potri.001G220600	NA	Medium Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.005G118400	NA	Medium Expression	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein
Potri.018G062700	Medium Expression	Medium Expression	Pectin lyase-like superfamily protein
Potri.012G038900	NA	High Expression	D-cysteine desulfhydrase
Potri.018G110100	NA	Medium Expression	homolog of yeast FIP1 [V]
Potri.006G068900	Low Expression	NA	Eukaryotic aspartyl protease family protein
Potri.019G033300	NA	Medium Expression	TATA binding protein 2
Potri.013G099600	NA	Low Expression	SNARE associated Golgi protein family
Potri.012G108100	NA	Medium Expression	transducin family protein / WD-40 repeat family protein
Potri.011G021100	NA	Low Expression	Phosphotyrosine protein phosphatases superfamily protein
Potri.012G045300	Medium Expression	Medium Expression	Outer arm dynein light chain 1 protein
Potri.002G248100	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.012G040200	NA	Not Expressed	C2H2-like zinc finger protein
Potri.003G018500	NA	High Expression	T-complex protein 11
Potri.017G100300	NA	Medium Expression	unknown
Potri.014G032400	NA	High Expression	succinate dehydrogenase 5
Potri.002G243300	NA	Low Expression	Homeodomain-like superfamily protein
Potri.017G129800	NA	High Expression	hydroxyproline-rich glycoprotein family protein
Potri.008G202800	NA	Medium Expression	Heavy metal transport/detoxification superfamily protein
Potri.004G173900	NA	Medium Expression	subtilisin-like serine protease 2
Potri.001G009700	NA	High Expression	Protein kinase family protein
Potri.004G039500	Medium Expression	NA	plus-3 domain-containing protein
Potri.019G001400	Medium Expression	NA	HXXXD-type acyl-transferase family protein
Potri.007G041300	Low Expression	NA	unknown
Potri.001G198300	Not Expressed	Not Expressed	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Potri.011G093700	Low Expression	Low Expression	Concanavalin A-like lectin protein kinase family protein
Potri.003G088500	NA	Low Expression	unknown
Potri.018G086900	NA	High Expression	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Potri.013G066100	NA	Low Expression	Plasma-membrane choline transporter family protein
Potri.001G402100	Not Expressed	NA	unknown
Potri.004G135700	NA	Low Expression	SET domain-containing protein
Potri.018G064500	NA	Medium Expression	ARID/BRIGHT DNA-binding domain-containing protein
Potri.018G114200	NA	High Expression	unknown
Potri.018G089600	NA	Not Expressed	zinc ion binding;nucleic acid binding
Potri.013G154500	NA	Medium Expression	myb-like HTH transcriptional regulator family protein
Potri.003G056700	NA	High Expression	tetratricopeptide repeat (TPR)-containing protein
Potri.017G094400	NA	Medium Expression	receptor-like protein kinase 2
Potri.010G004200	NA	Not Expressed	HY5-homolog
Potri.004G147800	Medium Expression	Not Expressed	target of rapamycin
Potri.003G028900	NA	Not Expressed	unknown
Potri.013G127800	NA	High Expression	O-acetylserine (thiol) lyase B
Potri.012G071900	NA	Medium Expression	Ubiquitin carboxyl-terminal hydrolase-related protein
Potri.011G082300	Low Expression	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.012G023400	NA	High Expression	SAUR-like auxin-responsive protein family
Potri.007G119300	NA	High Expression	SET domain protein 2
Potri.014G188300	Not Expressed	Not Expressed	photosystem II reaction center protein C
Potri.004G095600	NA	Medium Expression	Octicosapeptide/Phox/Bem1p family protein
Potri.002G105500	Medium Expression	Medium Expression	Chaperone DnaJ-domain superfamily protein
Potri.014G057000	Medium Expression	Medium Expression	structural constituent of nuclear pore
Potri.016G104700	High Expression	NA	Adaptor protein complex AP-1, gamma subunit
Potri.001G197400	High Expression	NA	ubiquitin-specific protease 7
Potri.005G241300	NA	Medium Expression	DEA(D/H)-box RNA helicase family protein
Potri.014G174700	High Expression	Medium Expression	formin homology 1
Potri.018G075200	NA	High Expression	multiprotein bridging factor 1C
Potri.018G078700	NA	Low Expression	FRIGIDA-like protein
Potri.001G052000	NA	Not Expressed	PB1 domain-containing protein tyrosine kinase
Potri.014G140700	NA	High Expression	Transducin/WD40 repeat-like superfamily protein
Potri.007G079500	NA	High Expression	copper ion binding;cobalt ion binding;zinc ion binding
Potri.018G095300	NA	High Expression	Calmodulin-binding protein
Potri.017G155000	NA	Medium Expression	Putative integral membrane protein conserved region (DUF2404)
Potri.014G109600	NA	Low Expression	unknown
Potri.019G060900	NA	Medium Expression	zinc ion binding;DNA binding;helicases;ATP binding;nucleic acid binding
Potri.010G029000	NA	Medium Expression	FAR1-related sequence 7
Potri.008G188000	NA	Low Expression	Protein of Unknown Function (DUF239)
Potri.017G075600	NA	Medium Expression	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Potri.005G011100	NA	Low Expression	agenet domain-containing protein
Potri.002G135400	NA	Low Expression	unknown
Potri.010G030000	NA	Low Expression	Ribosomal protein L34e superfamily protein
Potri.002G232800	NA	Medium Expression	trithorax-like protein 2
Potri.001G258900	High Expression	NA	Nucleolar GTP-binding protein
Potri.009G016300	Not Expressed	Not Expressed	Photosystem I, PsaA/PsaB protein
Potri.014G073400	NA	Low Expression	D-isomer specific 2-hydroxyacid dehydrogenase family protein
Potri.011G076900	NA	Low Expression	Protein of unknown function, DUF584
Potri.006G170400	NA	Low Expression	adenosylmethionine-8-amino-7-oxononanoate transaminases
Potri.005G156100	NA	Medium Expression	Chaperone DnaJ-domain superfamily protein
Potri.018G085600	Medium Expression	NA	alpha/beta-Hydrolases superfamily protein
Potri.004G145400	NA	Not Expressed	endonucleases
Potri.012G015600	NA	Low Expression	CLP protease regulatory subunit X
Potri.012G018900	Not Expressed	NA	unknown
Potri.008G213000	NA	High Expression	ENHANCED DISEASE RESISTANCE 2
Potri.010G013700	NA	Medium Expression	Cysteine proteinases superfamily protein
Potri.T012800	High Expression	High Expression	calcium-dependent protein kinase 2
Potri.015G100700	NA	Medium Expression	DEK domain-containing chromatin associated protein
Potri.004G101100	NA	Medium Expression	Flavodoxin family protein
Potri.001G374300	Low Expression	Not Expressed	glutamate receptor 2.7
Potri.014G197600	NA	High Expression	Chaperone DnaJ-domain superfamily protein
Potri.007G137600	NA	High Expression	Nucleic acid-binding, OB-fold-like protein
Potri.001G046900	NA	Low Expression	unknown
Potri.003G064100	NA	Medium Expression	Transcription initiation factor TFIID subunit A
Potri.003G141200	Low Expression	NA	Glycine-rich protein family
Potri.015G106200	NA	Not Expressed	Arabidopsis thaliana protein of unknown function (DUF794)
Potri.011G130100	NA	Medium Expression	mRNA capping enzyme family protein
Potri.010G028600	NA	Medium Expression	clathrin adaptor complexes medium subunit family protein
Potri.019G062100	High Expression	NA	Leucine-rich repeat protein kinase family protein
Potri.019G127700	Low Expression	NA	unknown
Potri.014G126900	NA	Low Expression	glycosyl hydrolase 9B13
Potri.001G024600	NA	Medium Expression	ARM repeat superfamily protein
Potri.018G106100	NA	High Expression	cyclic nucleotide gated channel 5
Potri.001G461400	High Expression	High Expression	Sec14p-like phosphatidylinositol transfer family protein
Potri.017G014400	NA	High Expression	Nucleic acid-binding, OB-fold-like protein
Potri.014G186200	NA	Not Expressed	unknown
Potri.005G074700	NA	Low Expression	C-CAP/cofactor C-like domain-containing protein
Potri.001G130400	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.008G089700	Not Expressed	NA	myb domain protein 106
Potri.011G075000	Low Expression	Low Expression	Chloroplast Ycf2;ATPase, AAA type, core
Potri.004G080200	High Expression	High Expression	expansin A13
Potri.012G118700	High Expression	NA	Argonaute family protein
Potri.017G033900	NA	Medium Expression	LRR and NB-ARC domains-containing disease resistance protein
Potri.002G234500	NA	Medium Expression	catalytics;carbohydrate kinases;phosphoglucan, water dikinases
Potri.015G105300	NA	High Expression	auxin response factor 2
Potri.004G097800	High Expression	NA	plastidic GLC translocator
Potri.009G100700	NA	Medium Expression	Thioredoxin superfamily protein
Potri.002G239900	NA	High Expression	FRIGIDA-like protein
Potri.012G084600	NA	Medium Expression	DEA(D/H)-box RNA helicase family protein
Potri.008G223500	NA	Not Expressed	cytochrome P450, family 71, subfamily B, polypeptide 34
Potri.001G399700	NA	Medium Expression	Protein kinase superfamily protein
Potri.012G021300	NA	Low Expression	unknown
Potri.019G031000	High Expression	High Expression	apyrase 2
Potri.019G036900	NA	Medium Expression	Leucine-rich repeat (LRR) family protein
Potri.013G111900	Low Expression	NA	ATP-binding casette family G25
Potri.018G107500	NA	High Expression	ubiquitin-specific protease 23
Potri.018G150600	High Expression	NA	unknown
Potri.018G033700	Low Expression	Low Expression	TIFY domain protein 8
Potri.014G168100	High Expression	NA	FASCICLIN-like arabinogalactan 2
Potri.001G048300	NA	Not Expressed	H(+)-ATPase 9
Potri.006G159400	NA	Medium Expression	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Potri.017G057100	NA	Medium Expression	Ypt/Rab-GAP domain of gyp1p superfamily protein
Potri.001G354400	NA	Not Expressed	Pentatricopeptide repeat (PPR) superfamily protein
Potri.001G087600	NA	Medium Expression	beta-amylase 1
Potri.002G246100	NA	High Expression	Integrase-type DNA-binding superfamily protein
Potri.004G132600	NA	Not Expressed	unknown
Potri.006G198800	Low Expression	NA	alpha/beta-Hydrolases superfamily protein
Potri.016G099300	Low Expression	Low Expression	unknown
Potri.001G375900	NA	Low Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.003G031800	NA	Medium Expression	Molecular chaperone Hsp40/DnaJ family protein
Potri.005G192700	Not Expressed	NA	HSP20-like chaperones superfamily protein
Potri.004G094600	NA	High Expression	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein
Potri.015G040200	Medium Expression	NA	high mobility group A5
Potri.009G071700	NA	High Expression	Homeodomain-like superfamily protein
Potri.009G004900	NA	Not Expressed	unknown
Potri.003G010200	NA	Medium Expression	60S acidic ribosomal protein family
Potri.019G034500	High Expression	High Expression	Protein kinase family protein
Potri.008G049900	NA	High Expression	mitogen-activated protein kinase phosphatase 1
Potri.001G218400	NA	Medium Expression	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Potri.001G358300	NA	High Expression	Early-responsive to dehydration stress protein (ERD4)
Potri.011G021000	Medium Expression	NA	Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein
Potri.004G174100	NA	High Expression	Senescence/dehydration-associated protein-related
Potri.012G090800	NA	Medium Expression	alpha/beta-Hydrolases superfamily protein
Potri.018G075900	NA	High Expression	Leucine-rich repeat (LRR) family protein
Potri.001G043500	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.009G106700	Medium Expression	NA	SWIB complex BAF60b domain-containing protein
Potri.011G135600	Medium Expression	NA	electron transfer flavoprotein alpha
Potri.019G133200	Medium Expression	NA	FRAGILE HISTIDINE TRIAD
Potri.001G032100	Not Expressed	Not Expressed	nodulin MtN21 /EamA-like transporter family protein
Potri.006G166500	Medium Expression	Medium Expression	Transducin/WD40 repeat-like superfamily protein
Potri.009G015800	NA	Medium Expression	IQ-domain 5
Potri.002G129000	NA	Medium Expression	conserved telomere maintenance component 1
Potri.009G040500	Medium Expression	Medium Expression	unknown
Potri.014G195600	Low Expression	NA	unknown
Potri.004G223100	NA	Medium Expression	alpha/beta-Hydrolases superfamily protein
Potri.015G023700	NA	High Expression	Galactosyltransferase family protein
Potri.017G044500	Medium Expression	Low Expression	K-box region and MADS-box transcription factor family protein
Potri.017G089000	NA	Medium Expression	UDP-glucosyl transferase 88A1
Potri.004G186300	NA	Medium Expression	Protein kinase superfamily protein
Potri.015G136700	NA	Not Expressed	non-intrinsic ABC protein 8
Potri.006G143000	High Expression	NA	DENN (AEX-3) domain-containing protein
Potri.002G235800	High Expression	NA	PHYTOCYSTATIN 2
Potri.017G133400	NA	Medium Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.001G418600	NA	High Expression	Translation initiation factor SUI1 family protein
Potri.001G033200	NA	High Expression	nuclear factor Y, subunit C11
Potri.012G067000	NA	Low Expression	SNF2 domain-containing protein / helicase domain-containing protein / HNH endonuclease domain-containing protein
Potri.003G038300	NA	High Expression	DEA(D/H)-box RNA helicase family protein
Potri.018G079500	NA	Low Expression	Regulator of Vps4 activity in the MVB pathway protein
Potri.009G117300	Low Expression	Low Expression	cryptochrome-interacting basic-helix-loop-helix 1
Potri.005G164600	NA	High Expression	Protein phosphatase 2C family protein
Potri.008G179300	Medium Expression	NA	glyceraldehyde-3-phosphate dehydrogenase C subunit 1
Potri.008G095800	NA	Low Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.017G139700	NA	Medium Expression	autophagy protein Apg5 family
Potri.016G080000	Medium Expression	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.003G034200	NA	Low Expression	DOF zinc finger protein 1
Potri.015G076700	NA	Not Expressed	ataxia-telangiectasia mutated
Potri.006G188200	Medium Expression	NA	Calcineurin-like metallo-phosphoesterase superfamily protein
Potri.018G114100	NA	High Expression	KNOTTED1-like homeobox gene 3
Potri.017G129900	NA	High Expression	ALWAYS EARLY 4
Potri.007G019800	NA	Medium Expression	unknown
Potri.005G168700	NA	Medium Expression	related to AP2 4
Potri.012G136500	NA	Not Expressed	unknown
Potri.019G039900	NA	High Expression	microfibrillar-associated protein-related
Potri.014G156800	NA	Low Expression	Lycopene beta/epsilon cyclase protein
Potri.004G185400	NA	Not Expressed	Subtilisin-like serine endopeptidase family protein
Potri.014G166300	NA	Medium Expression	homolog of yeast ADA2 2A
Potri.005G148800	NA	High Expression	glycosyl hydrolase family protein 43
Potri.005G185700	NA	High Expression	RNI-like superfamily protein
Potri.011G056300	NA	Low Expression	RING 1A
Potri.003G024100	NA	Low Expression	Plant protein of unknown function (DUF247)
Potri.018G036600	NA	Not Expressed	helicases;ATP-dependent helicases;nucleic acid binding;ATP binding;DNA-directed DNA polymerases;DNA binding
Potri.010G006300	NA	Medium Expression	phospholipase D P1
Potri.009G013500	NA	Medium Expression	hydroxyproline-rich glycoprotein family protein
Potri.017G101200	NA	Medium Expression	Alpha-L RNA-binding motif/Ribosomal protein S4 family protein
Potri.002G259900	High Expression	NA	Major facilitator superfamily protein
Potri.011G088100	NA	Medium Expression	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.001G285700	NA	High Expression	global transcription factor group E3
Potri.001G468700	NA	High Expression	BTB/POZ domain-containing protein
Potri.007G126300	NA	Low Expression	unknown
Potri.014G041700	NA	Low Expression	DNA glycosylase superfamily protein
Potri.001G204900	High Expression	NA	unknown
Potri.001G216800	NA	Not Expressed	conserved peptide upstream open reading frame 6
Potri.002G195100	High Expression	NA	HIT zinc finger ;PAPA-1-like conserved region
Potri.003G063800	NA	Not Expressed	NAD(P)-binding Rossmann-fold superfamily protein
Potri.004G118700	NA	Low Expression	TPX2 (targeting protein for Xklp2) protein family
Potri.017G116000	Medium Expression	NA	unknown
Potri.005G159800	Not Expressed	NA	unknown
Potri.018G009300	Medium Expression	NA	Cellulose-synthase-like C5
Potri.T022800	NA	Medium Expression	S-locus lectin protein kinase family protein
Potri.009G047200	NA	Not Expressed	unknown
Potri.001G226900	NA	High Expression	urophorphyrin methylase 1
Potri.013G139900	Low Expression	Low Expression	unknown
Potri.012G065700	Low Expression	NA	plasmodesmata callose-binding protein 3
Potri.T061700	Not Expressed	NA	unknown
Potri.008G219500	NA	Not Expressed	unknown
Potri.001G301900	High Expression	High Expression	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.001G420200	NA	High Expression	glucose 6-phosphate/phosphate translocator 1
Potri.002G104800	NA	Medium Expression	ubiquitin-specific protease 16
Potri.004G145500	NA	High Expression	Protein kinase superfamily protein
Potri.013G009600	High Expression	High Expression	unknown
Potri.014G158200	NA	High Expression	unknown
Potri.004G083300	NA	Medium Expression	STELAR K+ outward rectifier
Potri.017G057800	NA	Not Expressed	sucrose phosphate synthase 3F
Potri.008G003600	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.004G113200	NA	Medium Expression	O-fucosyltransferase family protein
Potri.008G066900	NA	Low Expression	unknown
Potri.001G219700	NA	High Expression	Argonaute family protein
Potri.006G136600	NA	Low Expression	ATP binding microtubule motor family protein
Potri.T012900	NA	Low Expression	NB-ARC domain-containing disease resistance protein
Potri.006G263400	Medium Expression	NA	TBP-associated factor 5
Potri.017G077700	NA	Not Expressed	UDP-Glycosyltransferase superfamily protein
Potri.005G059500	Not Expressed	NA	beta glucosidase 32
Potri.007G146400	Medium Expression	Medium Expression	auxin-regulated gene involved in organ size
Potri.008G045900	Medium Expression	NA	peptidase M1 family protein
Potri.015G007800	Low Expression	Low Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.002G003100	High Expression	High Expression	Phosphofructokinase family protein
Potri.008G209800	NA	Low Expression	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.004G209900	NA	Not Expressed	chloride channel E
Potri.017G033600	NA	Low Expression	AMP-dependent synthetase and ligase family protein
Potri.005G049800	NA	Medium Expression	with no lysine (K) kinase 1
Potri.016G052700	NA	Low Expression	C2H2-type zinc finger family protein
Potri.014G021900	NA	Medium Expression	WPP domain protein 2
Potri.004G129800	NA	High Expression	Transketolase family protein
Potri.003G223900	NA	Low Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.001G355300	High Expression	NA	DNA-binding bromodomain-containing protein
Potri.T001800	NA	Low Expression	phosphatidylinositol-4-phosphate 5-kinase 1
Potri.008G039900	Low Expression	Low Expression	Expressed protein
Potri.006G151100	Low Expression	Low Expression	unknown
Potri.003G198100	High Expression	NA	Glutaredoxin family protein
Potri.004G045800	Not Expressed	Not Expressed	AP2/B3-like transcriptional factor family protein
Potri.001G359200	Low Expression	NA	Alpha amylase family protein
Potri.011G026600	NA	High Expression	polyubiquitin 3
Potri.014G029200	NA	Medium Expression	Thioredoxin superfamily protein
Potri.003G004100	NA	High Expression	RAB GTPase 11C
Potri.006G190300	Not Expressed	NA	RING/U-box superfamily protein
Potri.010G030800	NA	Medium Expression	SNARE associated Golgi protein family
Potri.011G065200	Medium Expression	NA	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.019G044100	NA	Low Expression	unknown
Potri.019G080800	High Expression	High Expression	SPla/RYanodine receptor (SPRY) domain-containing protein
Potri.012G004300	Medium Expression	NA	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
Potri.010G126900	NA	Medium Expression	Protein kinase superfamily protein
Potri.001G070400	Medium Expression	NA	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.017G108200	NA	Low Expression	ATPase, AAA-type, CDC48 protein
Potri.012G034800	NA	Medium Expression	Nucleoporin interacting component (Nup93/Nic96-like) family protein
Potri.011G004000	NA	Medium Expression	PR5-like receptor kinase
Potri.007G092800	Medium Expression	Medium Expression	Nucleotide-sugar transporter family protein
Potri.014G051200	NA	Medium Expression	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
Potri.002G225800	Medium Expression	Medium Expression	serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime gamma
Potri.004G137100	NA	High Expression	phosphate deficiency response 2
Potri.014G168200	Not Expressed	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.001G048200	NA	Not Expressed	Integrase-type DNA-binding superfamily protein
Potri.019G103700	Not Expressed	NA	Galactose oxidase/kelch repeat superfamily protein
Potri.003G100000	NA	Medium Expression	chromomethylase 2
Potri.006G072000	Medium Expression	Medium Expression	Eukaryotic protein of unknown function (DUF872)
Potri.017G114000	High Expression	NA	Rad23 UV excision repair protein family
Potri.012G079800	NA	Medium Expression	Uncharacterised protein family (UPF0497)
Potri.018G019600	Medium Expression	Low Expression	Actin-binding FH2 (Formin Homology) protein
Potri.004G132700	Low Expression	Not Expressed	Glycosyl hydrolase superfamily protein
Potri.005G152800	NA	Medium Expression	GATA-type zinc finger protein with TIFY domain
Potri.006G148600	NA	High Expression	nucleosome assembly protein 1;2
Potri.013G056200	NA	Medium Expression	O-fucosyltransferase family protein
Potri.006G063000	High Expression	High Expression	Inorganic H pyrophosphatase family protein
Potri.013G029500	Low Expression	NA	DNAJ heat shock N-terminal domain-containing protein
Potri.005G192600	NA	High Expression	Protein of unknown function (DUF793)
Potri.007G087000	NA	Not Expressed	RNase L inhibitor protein-related
Potri.014G034100	Medium Expression	Medium Expression	alpha/beta-Hydrolases superfamily protein
